Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-24 11:05:25.709 +0530,"Failure",0:00:23,1,0,1,"20180124_110525.709/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001""",0
2018-01-24 11:06:27.298 +0530,"Failure",0:00:23,1,0,1,"20180124_110627.298/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001""",0
2018-01-24 11:07:13.696 +0530,"Failure",0:00:23,1,0,1,"20180124_110713.696/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""image0002""",0
2018-01-24 11:07:46.024 +0530,"Running",0:00:00,0,0,0,"20180124_110746.024/LogFile.txt","","",0
2018-01-24 11:09:12.597 +0530,"Failure",0:00:24,1,0,1,"20180124_110912.597/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""image0002""",0
2018-01-24 11:11:09.527 +0530,"Failure",0:00:23,1,0,1,"20180124_111109.527/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""image0002""",0
2018-01-24 11:11:42.635 +0530,"Running",0:00:00,0,0,0,"20180124_111142.635/LogFile.txt","","",0
2018-01-24 11:13:02.842 +0530,"Running",0:00:00,0,0,0,"20180124_111302.842/LogFile.txt","","",0
2018-01-24 11:16:03.556 +0530,"Success",0:00:00,0,0,0,"20180124_111603.556/LogFile.txt","","",1
2018-01-24 11:18:13.679 +0530,"Success",0:00:01,0,0,0,"20180124_111813.679/LogFile.txt","","",1
2018-01-24 11:30:50.407 +0530,"Failure",0:00:22,1,0,1,"20180124_113050.407/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""image0002_new""",0
2018-01-24 11:35:25.933 +0530,"Failure",0:00:00,1,0,1,"20180124_113525.933/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: image0002_new",0
2018-01-24 11:36:37.751 +0530,"Failure",0:00:00,1,0,1,"20180124_113637.751/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: image0002_new",0
2018-01-24 11:37:06.237 +0530,"Failure",0:00:00,1,0,1,"20180124_113706.237/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: image0002_new",0
2018-01-24 11:40:59.881 +0530,"Failure",0:00:00,1,0,1,"20180124_114059.881/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: image0002_new",0
2018-01-24 11:45:13.369 +0530,"Failure",0:00:00,1,0,0,"20180124_114513.369/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 1: Syntax Error - can't understand ""oogle"" at or near character 16",0
2018-01-24 11:53:03.544 +0530,"Success",0:00:02,0,0,0,"20180124_115303.544/LogFile.txt","","",1
2018-01-24 11:54:35.100 +0530,"Success",0:00:00,0,0,0,"20180124_115435.100/LogFile.txt","","",1
2018-01-24 12:09:59.751 +0530,"Success",0:00:01,0,0,0,"20180124_120959.751/LogFile.txt","","",1
2018-01-24 12:10:31.736 +0530,"Success",0:00:00,0,0,0,"20180124_121031.736/LogFile.txt","","",1
2018-01-24 12:10:47.566 +0530,"Success",0:00:00,0,0,0,"20180124_121047.566/LogFile.txt","","",1
2018-01-24 12:11:31.932 +0530,"Success",0:00:01,0,0,0,"20180124_121131.932/LogFile.txt","","",1
2018-01-24 12:12:22.495 +0530,"Running",0:00:00,0,0,0,"20180124_121222.495/LogFile.txt","","",0
2018-01-24 12:12:53.582 +0530,"Running",0:00:00,0,0,0,"20180124_121253.582/LogFile.txt","","",0
2018-01-24 12:15:03.803 +0530,"Failure",0:00:00,1,0,0,"20180124_121503.803/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 4: Syntax Error - can't understand [matching quote not found] at or near character 56",0
2018-01-24 12:15:48.084 +0530,"Failure",0:00:00,1,0,0,"20180124_121548.084/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 4: Syntax Error - can't understand [matching quote not found] at or near character 56",0
2018-01-24 12:24:48.279 +0530,"Failure",0:00:00,1,0,0,"20180124_122448.279/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 4: Syntax Error - can't understand [matching quote not found] at or near character 56",0
2018-01-24 12:27:04.900 +0530,"Failure",0:00:00,1,0,0,"20180124_122704.900/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 4: Syntax Error - can't understand [matching quote not found] at or near character 56",0
2018-01-24 12:27:21.812 +0530,"Failure",0:00:00,1,0,0,"20180124_122721.812/LogFile.txt","","SenseTalk Compiler Exception -- in newscript:\nSyntax Error at line 4: Syntax Error - can't understand [matching quote not found] at or near character 56",0
2018-01-24 12:27:55.011 +0530,"Failure",0:00:28,1,0,1,"20180124_122755.011/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0004""",0
2018-01-24 14:22:16.559 +0530,"Running",0:00:00,0,0,0,"20180124_142216.559/LogFile.txt","","",0
2018-01-24 14:22:35.382 +0530,"Running",0:00:00,0,0,0,"20180124_142235.382/LogFile.txt","","",0
2018-01-24 14:23:00.313 +0530,"Failure",0:00:22,1,0,1,"20180124_142300.313/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""oogle.png""",0
