Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-24 15:05:04.258 +0530,"Running",0:00:00,0,0,0,"20180124_150504.258/LogFile.txt","","",0
2018-01-24 15:05:31.852 +0530,"Running",0:00:00,0,0,0,"20180124_150531.852/LogFile.txt","","",0
2018-01-24 15:05:35.385 +0530,"Running",0:00:00,0,0,0,"20180124_150535.385/LogFile.txt","","",0
2018-01-24 15:05:55.333 +0530,"Success",0:00:31,0,0,0,"20180124_150555.333/LogFile.txt","","",1
2018-01-24 15:07:05.544 +0530,"Success",0:00:31,0,0,0,"20180124_150705.544/LogFile.txt","","",1
2018-01-24 15:09:32.980 +0530,"Running",0:00:00,0,0,0,"20180124_150932.980/LogFile.txt","","",0
2018-01-24 15:14:36.575 +0530,"Running",0:00:00,0,0,0,"20180124_151436.575/LogFile.txt","","",0
2018-01-24 15:15:56.997 +0530,"Running",0:00:00,0,0,0,"20180124_151556.997/LogFile.txt","","",0
2018-01-24 15:16:25.747 +0530,"Running",0:00:00,0,0,0,"20180124_151625.747/LogFile.txt","","",0
2018-01-24 15:28:50.689 +0530,"Success",0:00:02,0,0,0,"20180124_152850.689/LogFile.txt","","",1
