Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-29 10:38:13.626 +0530,"Success",0:00:00,0,0,0,"20180129_103813.626/LogFile.txt","","",1
2018-01-29 10:39:35.190 +0530,"Success",0:00:02,0,0,0,"20180129_103935.190/LogFile.txt","","",1
2018-01-29 10:49:15.332 +0530,"Success",0:00:02,0,0,0,"20180129_104915.332/LogFile.txt","","",1
2018-01-29 10:56:20.870 +0530,"Success",0:00:03,0,0,0,"20180129_105620.870/LogFile.txt","","",1
2018-01-29 11:07:52.880 +0530,"Success",0:00:04,0,0,0,"20180129_110752.880/LogFile.txt","","",1
2018-01-29 11:10:19.262 +0530,"Success",0:00:04,0,0,0,"20180129_111019.262/LogFile.txt","","",1
2018-01-29 11:11:14.023 +0530,"Success",0:00:04,0,0,0,"20180129_111114.023/LogFile.txt","","",2
2018-01-29 16:02:53.391 +0530,"Success",0:01:24,0,0,0,"20180129_160253.391/LogFile.txt","","",1
2018-01-29 16:12:43.310 +0530,"Success",0:01:25,0,0,0,"20180129_161243.310/LogFile.txt","","",2
2018-01-29 16:18:47.771 +0530,"Success",0:01:24,0,0,0,"20180129_161847.771/LogFile.txt","","",3
2018-01-30 11:50:27.804 +0530,"Success",0:01:19,0,0,0,"20180130_115027.804/LogFile.txt","","",3
2018-01-31 10:00:17.351 +0530,"Running",0:00:00,0,0,0,"20180131_100017.351/LogFile.txt","","",0
2018-01-31 10:01:47.978 +0530,"Failure",0:00:00,1,0,0,"20180131_100147.978/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'imagefoundinfo'",0
2018-01-31 10:02:23.604 +0530,"Success",0:01:32,0,0,0,"20180131_100223.604/LogFile.txt","","",3
