Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
eggplant/action,Success,3,0,2018-01-31 09:54:43 +0530,2018-01-31 10:52:54 +0530,0:00:00
eggplant/test,Success,8,0,2018-01-31 09:51:06 +0530,2018-01-31 10:48:52 +0530,0:00:00
notepad,Success,3,1,2018-01-29 17:34:25 +0530,2018-01-29 17:45:36 +0530,0:00:10
powerchart-login,Failure,11,7,2018-01-29 11:39:43 +0530,2018-01-30 09:21:44 +0530,0:00:00
practice,Success,1,0,2018-01-29 16:44:46 +0530,2018-01-29 16:44:46 +0530,0:00:22
prefmaint,Failure,12,8,2018-01-29 12:20:52 +0530,2018-02-02 15:14:14 +0530,0:00:08
eggplant/cerner-webpage,Success,6,0,2018-01-29 17:11:05 +0530,2018-01-31 10:02:26 +0530,0:00:24
cerner_page,Success,1,0,2018-01-31 10:07:28 +0530,2018-01-31 10:07:28 +0530,0:00:02
powerchart1,Failure,4,3,2018-01-30 15:22:36 +0530,2018-01-30 17:44:39 +0530,0:00:17
ALM,Success,7,5,2018-02-02 16:29:32 +0530,2018-02-05 11:41:46 +0530,0:02:12
