Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-29 12:20:52.815 +0530,"Success",0:00:15,0,0,0,"20180129_122052.815/LogFile.txt","","",1
2018-01-29 12:31:22.916 +0530,"Running",0:00:00,0,0,0,"20180129_123122.916/LogFile.txt","","",0
2018-01-29 12:35:08.320 +0530,"Failure",0:00:49,1,0,1,"20180129_123508.320/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""P-Application"" within 10.00 seconds",0
2018-01-29 12:39:18.686 +0530,"Failure",0:00:29,1,0,1,"20180129_123918.686/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: \r",0
2018-01-29 12:40:31.887 +0530,"Failure",0:00:32,1,0,1,"20180129_124031.887/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: \r",0
2018-01-29 14:00:20.340 +0530,"Failure",0:00:07,1,0,1,"20180129_140020.340/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2018-01-29 14:01:06.032 +0530,"Failure",0:00:12,1,0,1,"20180129_140106.032/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2018-01-29 14:02:10.930 +0530,"Failure",0:00:16,1,0,1,"20180129_140210.930/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: \r",0
2018-01-29 14:04:47.495 +0530,"Success",0:00:17,0,0,0,"20180129_140447.495/LogFile.txt","","",1
2018-01-29 15:02:20.295 +0530,"Success",0:00:25,0,0,0,"20180129_150220.295/LogFile.txt","","",1
2018-01-29 15:58:50.391 +0530,"Failure",0:00:22,1,0,1,"20180129_155850.391/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: buuton_close",0
2018-02-02 14:38:23.483 +0530,"Running",0:00:00,0,0,0,"20180202_143823.483/LogFile.txt","","",0
2018-02-02 15:08:16.825 +0530,"Running",0:00:00,0,0,0,"20180202_150816.825/LogFile.txt","","",0
2018-02-02 15:13:07.198 +0530,"Success",0:00:32,0,0,0,"20180202_151307.198/LogFile.txt","","",1
2018-02-02 15:14:14.487 +0530,"Failure",0:00:20,1,0,0,"20180202_151414.487/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'wiatfor'",0
